"Khagarijan College, Chotahaibor, Nagaon Sadar, Nagaon – 782003 ",,
"Kherajkhat College, Deotola, North Lakhimpur – 787033 ",,
"L. T. K. College, North Lakhimpur – 787031 ",,
"Madhab Chandra Das College, Sonaimukh, Silchar – 788119 ",,
"Madhya Kamrup College, Barpeta – 781305 ",,
"Mahendra Narayan Choudhury Balika Mahavidyalaya, Nalbari – 781335 ",,
"Mankachar College, Dhubri – 783131 ",,
"Mariani College, Mariani, Jorhat – 785634 ",,
"Moirabari College, Marigaon – 782126 ",,
"Nagaon G. N. D. G. Commerce College, Nagaon – 782001 ",,
"Nalbari Commerce College, Nalbari – 781335 ",,
"Nirmal Haloi College, Patacharkuchi, Barpeta – 781326 ",,
"North Bank College, Ghilamara, North Lakhimpur – 787053 ",,
"North Kamrup College, Baghmara, Barpeta – 781328  ",,
"Nowgong College, Nagaon – 782001  ",,
"Panigaon Omprakash Dinodia College, North Lakhimpur – 787052  ",,
"Rangachahi College, Majuli, Jorhat – 785104 ",,
"Ratnapith College, Chapar, Dhubri – 783371(Second Cycle)  ",,
"Sibsagar College, Joysagar, Sivasagar, Sibsagar – 785665  ",,
"Sipajhar College, Mangaldoi – 784145 ",,
"Tengakhat College, Dibrugarh - 786103 ",,
"Tihu College, Nalbari – 781371 
(Second Cycle)
",,
"Tinsukia College, Tinsukia – 786125 ",,
"Tinsukia Commerce College, Sripuria, Tinsukia – 786145 ",,
"Udalguri College, Udalguri – 784509 ",,
"West Goalpara College, Ambari, Balarbhita, Goalpara – 783129 ",,
"Women’s College, Durgabari, Tinsukia – 786125 
(Second Cycle)
",,
"Chaiduar College, Gohpur, Biswanath (Sonitpur) – 784168 
(Third Cycle)
",,
Digboi Mahila Mahavidyalaya ,,
Madhabdev College ,,
"A. P. Singh Memorial College, Barauni, Begusarai – 851112  ",,
"Acharya Narendra Dev College, Samastipur – 848504  ",,
"B.D. Evening College Mithapur Patna 800001, Bihar ",,
"B.M.D. College, Vaishali, 844502 ",,
"Bali Ram Bhagat College, Samastipur – 848101 ",,
"Bilat Mahtha Adarsh Mahavidyalaya, Darbhanga – 847105  ",,
"C.M. College (Arts & Commerce), Darbhanga, 846004 ",,
"College of Arts & Crafts, Patna, 800001 ",,
"College of Commerce, Patna – 800020 ",,
"Dharma Samaj Sanskrit College, Muzaffarpur – 842001 ",,
"Dr. Ram Manohar Lohia Smarak Mahavidyalaya, Muzaffarpur – 842002 ",,
"G.M.R.D. College Mohanpur, Via-Baghra Dist. Samatipur 848506, Bihar ",,
"Gajadhar Bhagat College, Naugachia, Bhagalpur – 853204 ",,
"Ganesh Dutt College Begusarai 851101, Bihar ",,
"Gaya College, Gaya, 823001 ",,
"Government Sanskrit College, Rajendra Nagar, Patna – 800004 ",,
"Harsh Pati Singh College, Madhepur, Madhubani, 847408 Bihar ",,
"Hotilal Ram Nath College, Amnour, Saran – 841401 ",,
